ID,Name,URL,Identifier,Identifier Type,Creator,Origin (publisher),Publication Year,Object (resource type),Content,Methodology,Granularity,Geographical extension,Time reference,Access conditions,Terms of use
1,Advancement in Urban Climate Modelling at Local Scale: Urban Heat Island Mitigation and Building Cooling Demand,https://www.mdpi.com/2073-4433/11/12/1313,https://doi.org/10.3390/atmos11121313,Digital object identifier,"Kubilay, A.; Allegrini, J.; Strebel, D.; Zhao, Y.; Derome, D.; Carmeliet, J.",Atmosphere,2020,Journal paper,Building cooling demand,"A framework is presented, where the urban climate is studied by coupling a meteorological model to a building-resolved local urban climate model, and where an urban climate model is coupled to a building energy simulation model. The urban climate model allows for studies at local scale, combining modelling of wind and buoyancy with computational fluid dynamics, radiative exchange and heat and mass transport in porous materials including evaporative cooling at street canyon and neighbourhood scale. This coupled model takes into account the hygrothermal behaviour of porous materials and vegetation subjected to variations of wetting, sun, wind, humidity and temperature.",0.0025°,"Zurich, Switzerland",2019,MDPI access required,n/a
2,A comprehensive scouting of space cooling technologies in Europe: Key characteristics and development trends,https://www.sciencedirect.com/science/article/pii/S1364032123004938?via%3Dihub,https://doi.org/10.1016/j.rser.2023.113636,Digital object identifier,"Essam Elnagar, Simon Pezzutto, Bruno Duplessis, Théodore Fontenaille, Vincent Lemort",Renewable and Sustainable Energy Reviews,2023,Journal paper,Space cooling,"The study aims to categorize 32 alternative space cooling technologies based on eight scouting parameters (physical energy form, basic working/operating principle, refrigerant or heat transfer medium, phase of the working fluid, specific physical process/device, type of space cooling technology, fuel type and technology readiness level) and evaluate their key characteristics and development trends.",NUTS0,EU27,n/a,ScienceDirect access required,n/a
3,Estimation of European Union residential sector space cooling potential,https://www.sciencedirect.com/science/article/pii/S030142151630653X,https://doi.org/10.1016/j.enpol.2016.11.047,Digital object identifier,"Mindaugas Jakubcionis, Johan Carlsson",Energy Policy,2017,Journal paper,Space cooling,A georeferenced approach was used to establish the potential residential space cooling demand in NUTS-3 regions of EU. ,NUTS0,EU27 + UK,n/a,ScienceDirect access required,n/a
4,European space cooling demands,https://www.sciencedirect.com/science/article/pii/S0360544215015637?casa_token=PEzBmKJ3mKoAAAAA:sxiXX4JiNz3sjx8TdCOGuUY7OljMxRkdTnqW1ESZeFjG-uTsVYMc8jpcYZyLO1kVfLv7_IQ86_o,https://doi.org/10.1016/j.energy.2015.11.028,Digital object identifier,Sven Werner,Energy,2016,Journal paper,Space cooling,Space cooling demands have been assessed for European service sector buildings. These estimations were based on cold deliveries from twenty different European district cooling locations in eight countries.,NUTS0,EU27 + UK,n/a,ScienceDirect access required,n/a
5,Space Cooling Market in Europe: Assessment of the Final Energy Consumption for the Year 2016,https://www.mdpi.com/2071-1050/14/5/2667,https://doi.org/10.3390/su14052667,Digital object identifier,"Pezzutto, S.; Quaglini, G.; Riviere, P.; Kranzl, L.; Novelli, A.; Zambito, A.; Bottecchia, L.; Wilczynski, E.",Sustainability,2022,Journal paper,Space cooling,An extensive literature review of datasets and journal papers has been conducted to fill the knowledge gaps of the investigated energy branch. ,NUTS0,EU27 + UK,2016,MDPI access required,n/a
6,Climate change impacts on trends and extremes in future heating and cooling demands over Europe,https://www.sciencedirect.com/science/article/pii/S0378778820309737,https://doi.org/10.1016/j.enbuild.2020.110397,Digital object identifier,"M.A.D. Larsen, S. Petrović, A.M. Radoszynski, R. McKenna, O. Balyk",Energy and Buildings,2020,Journal paper,Heating - cooling,The analysis is based on two GHG emission climate scenarios (RCP2.6 and RCP4.5) and eight high-resolution regional climate models and results are provided as relative and absolute changes on grid and country scales. Population density is used as proxy for spatial distribution of demands.,NUTS0,EU27 + UK,Until 2050,ScienceDirect access required,n/a
7,Environmental Assessment of Residential Space Heating and Cooling Technologies in Europe: A Review of 11 European Member States,https://www.mdpi.com/2071-1050/15/5/4288,https://doi.org/10.3390/su15054288,Digital object identifier,"Fraboni, R.; Grazieschi, G.; Pezzutto, S.; Mitterrutzner, B.; Wilczynski, E.",Sustainability,2023,Journal paper,Space cooling,"This article reviewed data about the environmental impact and the primary energy consumption of 27 space heating and cooling technologies for the residential sector as if they were adopted in 11 different European member states: Austria, Cyprus, Denmark, Estonia, France, Germany, Italy, Poland, Romania, Spain, and Sweden. Direct emissions from the machineries and upstream indirect emissions from the energy carriers were considered. ",NUTS0,"Austria, Cyprus, Denmark, Estonia, France, Germany, Italy, Poland, Romania, Spain, and Sweden",Most data from at least 2018,MDPI access required,n/a
8,Assessment of Final Space Cooling Consumption in the European Transportation Sector,https://www.mdpi.com/2071-1050/14/3/1491,https://doi.org/10.3390/su14031491,Digital object identifier,"Quaglini, G.; Pezzutto, S.; Grotto, A.; Wilczynski, E.",Sustainability,2022,Journal paper,Space cooling,The fundamentals of this study include a comprehensive literature review as well as the creation of a dataset characterized by completeness and reliability. Different essential input parameters have been investigated and the encountered data and information gaps have been filled.,NUTS0,EU27 + UK,2019,MDPI access required,n/a
9,Estimation of European Union service sector space cooling potential,https://www.sciencedirect.com/science/article/pii/S0301421517307498,https://doi.org/10.1016/j.enpol.2017.11.012,Digital object identifier,"Mindaugas Jakubcionis, Johan Carlsson",Energy Policy,2018,Journal paper,Space cooling,A georeferenced approach based on comparing Cooling Degree Days and space cooling consumption in the USA was used to establish the potential service space cooling demand in NUTS-3 regions of EU. ,NUTS0,EU27 + UK,1995–2015,ScienceDirect access required,n/a
10,Assessment of the Space Heating and Cooling Market in the EU28: A Comparison between EU15 and EU13 Member States,https://www.researchgate.net/profile/Simon-Pezzutto/publication/299740303_Assessment_of_the_Space_Heating_and_Cooling_Market_in_the_EU28_A_Comparison_between_EU15_and_EU13_Member_States/links/5704baf008ae74a08e2468fe/Assessment-of-the-Space-Heating-and-Cooling-Market-in-the-EU28-A-Comparison-between-EU15-and-EU13-Member-States.pdf,https://doi.org/10.14621/ce.20150105,Digital object identifier,"Simon Pezzutto, Agne Toleikyte, Matteo De Felice",International Journal of Contemporary ENERGY,2015,Journal paper,Space cooling,"Following a bottom-up approach, data of the actual space heating and cooling market are collected and analysed. Next, air-conditioning market information was retrieved through a topdown approach and compared with bottom-up acquired data. ",NUTS0,EU27 + UK,n/a,Open - download,n/a
11,Heating and cooling energy trends and drivers in Europe,https://www.sciencedirect.com/science/article/pii/S0360544216318874?casa_token=8CWUVd3PtVMAAAAA:OdLjyOQFXr-Px2kGCUHqjOPpUmnTrUkOF7O_PlFsrdHVVDT0xWcVqK1r0SWpYxmO3yZwvwABuTa8,https://doi.org/10.1016/j.energy.2016.12.080,Digital object identifier,"Susana Serrano, Diana Ürge-Vorsatz, Camila Barreneche, Anabel Palacios, Luisa F. Cabeza",Energy,2017,Journal paper,Heating - cooling,"This paper follows the drivers identified in a previous one for the heating and cooling energy consumption, decomposing this energy demand into key drivers based on a Kaya identity approach: number of households, persons per household, floor space per capita and specific energy consumption for residential heating and cooling.",NUTS0,EU27 + UK,1990 to 2010,ScienceDirect access required,n/a
12,Spatial Distribution of Future Demand for Space Cooling Applications and Potential of Solar Thermal Cooling Systems,https://www.mdpi.com/2071-1050/15/12/9486,https://doi.org/10.3390/su15129486,Digital object identifier,"Strobel, M.; Jakob, U.; Streicher, W.; Neyer, D. ",Sustainability,2023,Journal paper,Space cooling,"The CDMI is calculated for 2020 and 2050 in four different future scenarios in accordance with the Spatial Socioeconomic Pathways (SSP) and Representative Concentration Pathways (RCP). Further, the Solar Thermal Cooling Index (STCI) was developed to spatially estimate the worldwide potential to use solar thermal cooling systems based on solar availability and limitations due to maximum heat rejection temperature. ",n/a,Worldwide,2020 and 2050,MDPI access required,n/a
13,"Heat Roadmap Europe: Quantitative comparison between the electricity, heating, and cooling sectors for different European countries",https://www.sciencedirect.com/science/article/pii/S0360544217312124?casa_token=PRIALtzMC0cAAAAA:kCsSd-sfi_CCU2u8wQq8AvbDXRvpJjeXtr31HIPYDNA7kg4uc8DQED8jhABUya-wmtRBb7khK3RC,https://doi.org/10.1016/j.energy.2017.07.037,Digital object identifier,D. Connolly,Energy,2017,Journal paper,Heating - cooling,"Annual energy demands are compared for all 28 EU countries, while peak hourly demands are compared for four countries that vary significantly.",NUTS0,EU27 + UK,2012,ScienceDirect access required,n/a
